order,avg length,B_time,BPlus_time,BStar_time
2151,168877,6,5,6
2152,168877,6,5,6
2153,168877,6,6,6
2154,168877,6,5,6
2155,168877,6,5,6
2156,168877,6,5,6
2157,168877,6,5,6
2158,168877,6,5,6
2159,168877,6,5,6
2160,168877,6,5,6
2161,168877,6,5,6
2162,168877,6,5,6
2163,168877,6,5,6
2164,168877,6,5,6
2165,168877,6,5,6
2166,168877,6,5,6
2167,168877,6,5,6
2168,168877,6,5,6
2169,168877,6,5,6
2170,168877,6,5,6
2171,168877,6,5,6
2172,168877,6,5,6
2173,168877,6,5,6
2174,168877,6,5,6
2175,168877,6,5,6
2176,168877,6,5,6
2177,168877,6,5,6
2178,168877,6,5,6
2179,168877,6,5,6
2180,168877,6,5,6
2181,168877,6,5,6
2182,168877,6,5,6
2183,168877,6,5,5
2184,168877,6,5,6
2185,168877,6,5,6
2186,168877,6,5,6
2187,168877,6,5,6
2188,168877,6,5,6
2189,168877,6,5,6
2190,168877,6,5,6
2191,168877,6,5,6
2192,168877,6,5,6
2193,168877,6,5,6
2194,168877,6,5,6
2195,168877,6,5,6
2196,168877,6,5,6
2197,168877,6,5,6
2198,168877,6,5,6
2199,168877,6,5,6
2200,168877,6,5,6
2201,168877,6,5,6
2202,168877,6,5,6
2203,168877,6,5,6
2204,168877,6,5,6
2205,168877,6,5,6
2206,168877,6,5,6
2207,168877,6,5,6
2208,168877,6,5,6
2209,168877,6,5,6
2210,168877,6,5,6
2211,168877,6,5,6
2212,168877,6,5,6
2213,168877,6,5,6
2214,168877,6,5,6
2215,168877,6,5,6
2216,168877,6,5,6
2217,168877,6,5,6
2218,168877,6,5,6
2219,168877,6,5,6
2220,168877,6,5,6
2221,168877,6,5,6
2222,168877,6,5,6
2223,168877,6,5,6
2224,168877,6,5,6
2225,168877,6,5,6
2226,168877,6,5,6
2227,168877,6,5,6
2228,168877,6,6,6
2229,168877,6,5,6
2230,168877,6,5,6
2231,168877,6,5,6
2232,168877,6,5,6
2233,168877,6,5,6
2234,168877,6,5,6
2235,168877,6,5,6
2236,168877,6,5,6
2237,168877,6,5,6
2238,168877,6,5,6
2239,168877,6,5,6
2240,168877,6,5,6
2241,168877,6,5,6
2242,168877,6,5,6
2243,168877,6,5,6
